Date,Headline_1,Headline_2,Headline_3
5/2/2025,BTC Gains 0.41% to 96894,ETH Slightly Up to 1842,XRP Futures Launch on CME
5/3/2025,BTC Falls 1.04% to 95885,ETH Dips 0.44% to 1833,Solana Gains on DeFi Momentum
5/4/2025,BTC Dips 1.64% to 94316,ETH Falls 1.36% to 1809,Canada Crypto Policy Faces Scrutiny
5/5/2025,BTC Gains 0.45% to 94745,ETH Slightly Up to 1820,Georgia Pushes Blockchain Education Bill
5/6/2025,BTC Jumps 2.20% to 96825,ETH Stable at 1816,New Whale Withdraws 50M BTC from Binance
5/7/2025,BTC Slightly Up to 97035,ETH Dips 0.30% to 1811,US Fed Holds Rates Steady at 4.25%
5/8/2025,BTC Soars 6.43% to 103274,ETH Rockets 21.80% to 2206 on Pectra Upgrade,Coinbase Launches 24/7 Futures Trading
5/9/2025,BTC Slightly Down to 102975,ETH Jumps 6.31% to 2345 on Institutional Inflows,BlackRock BTC ETF Sees 356M Inflows
5/10/2025,BTC Gains 1.77% to 104798,ETH Surges 10.17% to 2583,Altseason Begins as BTC Dominance Falls
5/11/2025,BTC Dips 0.65% to 104119,ETH Falls 2.65% to 2515,Coinbase Faces 400M Cyberattack
5/12/2025,BTC Falls 1.27% to 102795,ETH Dips 0.77% to 2495,Coinbase Joins S&P 500 Index
5/13/2025,BTC Gains 1.29% to 104119,ETH Jumps 7.39% to 2680 on Staking Optimism,SEC Chair Pledges Crypto Innovation Hub
5/14/2025,BTC Dips 0.58% to 103513,ETH Falls 2.63% to 2609,ETH Whales Scoop Up 40.75M ETH
5/15/2025,BTC Slightly Up to 103765,ETH Dips 2.36% to 2548,MicroStrategy Boosts BTC Holdings by 500M
5/16/2025,BTC Dips 0.27% to 103480,ETH Falls 0.44% to 2537,Stellar XLM Eyes 0.30 Surge
5/17/2025,BTC Falls 0.36% to 103112,ETH Dips 2.44% to 2475,XRP Soars to 2.60 on ETF Speculation
5/18/2025,BTC Jumps 3.29% to 106504,ETH Gains 0.97% to 2498,Solana Up 17% in Two Days
5/19/2025,BTC Dips 3.27% to 103023,ETH Falls 3.42% to 2413 on Heavy Selloff,$31B Liquidated as BTC Hits 107K
